date,close,volume,open,high,low
2017/12/01,235.0700,2387146.0000,233.6500,238.6400,232.5100
2017/11/30,238.5800,3127218.0000,237.3800,239.1900,235.1900
2017/11/29,235.4900,3530026.0000,242.3200,243.8800,229.0100
2017/11/28,244.0300,2342548.0000,249.0000,249.0000,241.9100
2017/11/27,247.0200,2018783.0000,246.0000,248.9700,245.6200
2017/11/24,249.4200,1610892.0000,249.5000,250.3724,245.7300
2017/11/22,249.6500,3477464.0000,246.7500,252.9000,246.3908
2017/11/21,244.3000,2591715.0000,242.0000,246.9000,240.1980
2017/11/20,238.5400,2078555.0000,241.0000,242.6300,237.6600
2017/11/17,239.2700,2224855.0000,241.8000,243.0400,239.0100
2017/11/16,239.3200,2262767.0000,236.7100,240.7100,234.2608
2017/11/15,234.2100,2656171.0000,232.0100,234.8400,226.0100
2017/11/14,234.9200,1561131.0000,236.6000,237.0000,232.9200
2017/11/13,237.3700,1712006.0000,234.6900,238.4600,232.0200
2017/11/10,237.4000,1461480.0000,239.5800,239.5800,236.5000
2017/11/09,240.0600,2564732.0000,237.9900,240.5500,236.2900
2017/11/08,241.1800,2087088.0000,243.6300,244.5250,238.8000
2017/11/07,243.4700,1631315.0000,246.6200,247.9200,242.4100
2017/11/06,244.5300,1833364.0000,242.7100,246.7000,240.8000
2017/11/03,241.5400,1622040.0000,242.6500,244.3900,240.3200
2017/11/02,242.0900,2578964.0000,246.3700,247.2250,239.5000
2017/11/01,245.4300,3615173.0000,247.7100,251.1800,245.2600
2017/10/31,243.9400,3757234.0000,238.0000,244.4090,235.0300
2017/10/30,236.4200,5105438.0000,240.9600,244.5500,232.4400
2017/10/27,239.3700,10848600.0000,241.8200,247.3900,235.7300
2017/10/26,260.6200,3640570.0000,262.0600,265.5100,259.4700
2017/10/25,263.0400,3118904.0000,264.6800,268.5100,257.6900
2017/10/24,264.0000,1640690.0000,266.2000,266.8000,263.1150
2017/10/23,266.1300,2014577.0000,266.1000,267.8700,261.5110
2017/10/20,264.9000,2115217.0000,268.4000,269.8000,264.3500
2017/10/19,264.5200,2981269.0000,262.2600,265.5300,259.1500
2017/10/18,268.9700,2156627.0000,271.1000,271.4900,266.9700
2017/10/17,270.3200,3191321.0000,273.7000,274.9700,269.4400
2017/10/16,272.8200,3614577.0000,264.9800,273.0700,264.0000
2017/10/13,262.6800,2111045.0000,260.1100,264.6600,259.6100
2017/10/12,259.3300,2185652.0000,259.5300,261.3600,258.0600
2017/10/11,260.3200,2796646.0000,261.0600,263.4400,258.5100
2017/10/10,262.4100,4283551.0000,254.3600,262.6900,253.5200
2017/10/09,252.2200,2402074.0000,248.1600,254.2800,247.4345
2017/10/06,247.6900,1342558.0000,244.8300,247.8600,244.1630
2017/10/05,245.2700,2155628.0000,246.4900,247.5000,242.2200
2017/10/04,243.9700,1754219.0000,246.2600,247.0000,243.6700
2017/10/03,247.0000,1997379.0000,250.0000,250.4900,246.5100
2017/10/02,248.6700,2319934.0000,248.6200,250.5700,246.5000
2017/09/29,247.6900,3402070.0000,242.0300,248.0000,242.0300
2017/09/28,241.2800,1957971.0000,238.4700,242.3700,237.2000
